Step,Performance,Game Manager Index,Best Route Energy,Curriculum Step,Target Route Energy
968704,5343.3307539682555,59,inf,14,14
970752,14260.477777777776,62,inf,14,14
972800,909.7619444444441,66,inf,14,14
974848,8539.883333333335,69,inf,14,14
976896,7610.667777777779,71,inf,14,14
978944,845.4455555555556,75,inf,14,14
980992,4684.588333333333,78,inf,14,14
983040,8321.916388888885,81,inf,14,14
985088,9274.270277777781,84,inf,14,16
987136,5038.570833333332,88,inf,14,16
989184,907.9424999999994,92,inf,14,16
991232,8873.902222222225,95,inf,14,16
993280,9682.346666666666,98,inf,14,16
995328,3354.07880952381,102,inf,14,16
997376,8139.044444444445,104,inf,14,16
999424,2227.3730555555558,107,inf,14,16
1001472,9731.418174603177,109,inf,14,16
